"","SiteID","EventID","Location","Lat1","Long1","Habitat"
"1","157",414,"Heceta Island",55.7581,-133.4708,"Eelgrass"
"2","158",415,"Heceta Island",55.7564,-133.4711,"Eelgrass"
"3","156",413,"Heceta Island",55.7758,-133.5319,"Eelgrass"
"4","155",412,"Heceta Island",55.7708,-133.5361,"Eelgrass"
"5","145",396,"Prince of Wales Island",55.5072,-133.1339,"Kelp"
"6","145",397,"Prince of Wales Island",55.5072,-133.1339,"Kelp"
"7","146",400,"Prince of Wales Island",55.5125,-133.1297,"Kelp"
"8","146",402,"Prince of Wales Island",55.5125,-133.1297,"Kelp"
"9","145",403,"Prince of Wales Island",55.5072,-133.1339,"Kelp"
"10","146",399,"Prince of Wales Island",55.5125,-133.1297,"Kelp"
"11","177",254,"Prince of Wales Island",56.1936,-133.5169,"Eelgrass"
"12","178",255,"Prince of Wales Island",56.195,-133.5167,"Eelgrass"
"13","184",375,"Prince of Wales Island",56.1483,-133.5378,"Kelp"
"14","183",374,"Prince of Wales Island",56.1453,-133.5408,"Kelp"
"15","132",237,"Prince of Wales Island",55.5772,-133.0944,"Eelgrass"
"16","132",239,"Prince of Wales Island",55.5772,-133.0944,"Eelgrass"
"17","132",235,"Prince of Wales Island",55.5772,-133.0944,"Eelgrass"
"18","135",264,"Prince of Wales Island",55.5,-133.1644,"Eelgrass"
"19","136",259,"Prince of Wales Island",55.5003,-133.1647,"Eelgrass"
"20","136",257,"Prince of Wales Island",55.5003,-133.1647,"Eelgrass"
"21","136",261,"Prince of Wales Island",55.5003,-133.1647,"Eelgrass"
"22","135",258,"Prince of Wales Island",55.5,-133.1644,"Eelgrass"
"23","135",256,"Prince of Wales Island",55.5,-133.1644,"Eelgrass"
"24","135",260,"Prince of Wales Island",55.5,-133.1644,"Eelgrass"
"25","131",236,"Prince of Wales Island",55.5778,-133.0941,"Eelgrass"
"26","131",234,"Prince of Wales Island",55.5778,-133.0941,"Eelgrass"
"27","131",238,"Prince of Wales Island",55.5778,-133.0941,"Eelgrass"
"28","141",358,"Prince of Wales Island",55.5361,-133.1056,"Eelgrass"
"29","140",283,"Prince of Wales Island",55.5011,-133.1675,"Kelp"
"30","141",356,"Prince of Wales Island",55.5361,-133.1056,"Eelgrass"
"31","140",580,"Prince of Wales Island",55.5011,-133.1675,"Kelp"
"32","141",360,"Prince of Wales Island",55.5361,-133.1056,"Eelgrass"
"33","140",285,"Prince of Wales Island",55.5011,-133.1675,"Kelp"
"34","140",287,"Prince of Wales Island",55.5011,-133.1675,"Kelp"
"35","142",361,"Prince of Wales Island",55.5358,-133.1053,"Eelgrass"
"36","142",365,"Prince of Wales Island",55.5358,-133.1053,"Eelgrass"
"37","141",364,"Prince of Wales Island",55.5361,-133.1056,"Eelgrass"
"38","142",357,"Prince of Wales Island",55.5358,-133.1053,"Eelgrass"
"39","142",359,"Prince of Wales Island",55.5358,-133.1053,"Eelgrass"
"40","138",273,"Prince of Wales Island",55.4875,-133.1414,"Eelgrass"
"41","138",277,"Prince of Wales Island",55.4875,-133.1414,"Eelgrass"
"42","138",275,"Prince of Wales Island",55.4875,-133.1414,"Eelgrass"
"43","136",265,"Prince of Wales Island",55.5003,-133.1647,"Eelgrass"
"44","137",274,"Prince of Wales Island",55.4872,-133.1414,"Eelgrass"
"45","137",276,"Prince of Wales Island",55.4872,-133.1414,"Eelgrass"
"46","137",272,"Prince of Wales Island",55.4872,-133.1414,"Eelgrass"
"47","139",284,"Prince of Wales Island",55.5008,-133.1672,"Kelp"
"48","139",286,"Prince of Wales Island",55.5008,-133.1672,"Kelp"
"49","139",579,"Prince of Wales Island",55.5008,-133.1672,"Kelp"
"50","139",282,"Prince of Wales Island",55.5008,-133.1672,"Kelp"
"51","337",572,"Ballena Island",55.4764,-133.1881,"Eelgrass"
"52","338",573,"Prince of Wales Island",55.5208,-133.1617,"Eelgrass"
"53","617",3190,"Gravina Island",55.1561,-131.7498,"Eelgrass"
"54","616",3189,"Gravina Island",55.1551,-131.7421,"Kelp"
"55","598",3171,"Prince of Wales Island",54.7401,-132.1536,"Eelgrass"
"56","599",3172,"Prince of Wales Island",54.7259,-132.1241,"Kelp"
"57","596",3169,"Prince of Wales Island",54.9711,-132.0924,"Eelgrass"
"58","602",3175,"",55.047,-131.0105,"Kelp"
"59","603",3176,"",55.0426,-130.9995,"Eelgrass"
"60","601",3174,"Prince of Wales Island",54.7051,-132.1005,"Kelp"
"61","595",3168,"Prince of Wales Island",54.9856,-132.1098,"Kelp"
"62","614",3187,"Annette Island",55.1782,-131.5791,"Eelgrass"
"63","613",3186,"Annette Island",55.176,-131.5972,"Kelp"
"64","606",3179,"Duke Island",54.9744,-131.2538,"Kelp"
"65","605",3178,"",55.0635,-130.9917,"Kelp"
"66","607",3180,"Duke Island",54.9684,-131.2492,"Eelgrass"
"67","107",348,"Baker Island",55.3658,-133.5856,"Eelgrass"
"68","112",343,"Baranof Island",56.2553,-134.6633,"Kelp"
"69","111",342,"Baranof Island",56.2536,-134.6653,"Kelp"
"70","110",351,"Baker Island",55.3597,-133.5878,"Kelp"
"71","109",350,"Baker Island",55.3597,-133.5883,"Kelp"
"72","108",349,"Baker Island",55.3575,-133.5869,"Eelgrass"
